cshom,prccm,tic
136094000.0,33.81,OMF
135339000.0,61.1,CCK
10119000.0,4.7,CRWS
31157000.0,64.48,CUB
3646015000.0,0.0,EESO
63093000.0,93.66,CFR
12391000.0,19.0,CULP
157492000.0,171.34,CMI
42773000.0,127.13,CW
51374000.0,0.235,GTBP
230700000.0,19.58,WEN
143913000.0,19.94,DAN
715934000.0,142.92,DHR
8219000.0,4.5,DAIO
22699482000.0,0.0,WGIH
23171000.0,2.5,DWSN
3747000.0,7.95,DXR
,0.0067,TZPC
512334000.0,86.61,TGT
26748000.0,0.0015,VIEWF
316996000.0,165.71,DE
6000.0,2900.0,DVLN
654646000.0,56.75,DAL
43638000.0,40.66,DLX
183212000.0,127.88,DTE
56582000.0,45.05,ATGE
1367000.0,3.23,DEWY
902000.0,36.75,BIOQ
9096000.0,15.2,PYXSQ
76592000.0,9.16,DBDQQ
2685000.0,4.0159,NSYS
21729000.0,62.28,DDS
50614000.0,36.37,DIOD
47883000.0,0.0049,DION
1799699000.0,139.64,DIS
15507000.0,0.58,DXYN
258323000.0,135.16,DG
378683000.0,1.2489,WFSTF
378683000.0,1.6,WEF.
802364000.0,77.32,D
127527000.0,50.86,DCI
70800000.0,1.97,RRD
,,RRD.2
34680000.0,18.31,DMLP
145329000.0,100.2,DOV
748796000.0,75.07,DD
220168000.0,81.95,OMC
197797000.0,0.61,ASNAQ
1673000.0,109.37,CTA.PB
11498000.0,45.07,DCO
728047000.0,88.24,DUK
131138000.0,52.69,FLS
31483000.0,58.87,DY
8418000.0,1.65,DYNT
17561000.0,1.0,DYSL
110918000.0,96.34,RVTY
3073000.0,0.032,PRMD
6233000.0,28.02,EML
36753000.0,115.98,EGP
43001000.0,2.4,KODK
423100000.0,83.28,ETN
114068000.0,43.13,EV.1
288242000.0,197.44,ECL
8179000.0,6.99,EDUC
40616000.0,65.4,EE.2
3396000.0,3.32,ELSE
2009000.0,0.01,ETCIA
29744000.0,1.47,ELRNF
615027000.0,66.72,EMR
21043000.0,1.03,MSN
19305000.0,3.52,SORL
1003334000.0,0.05,WFTIQ
116988000.0,105.56,ATO
6385000.0,2.89,MARA
26156000.0,20.52,EBF
44215000.0,0.27,ENZN
29458000.0,2.5,VKSC
9158000.0,0.7,ETCC
47557000.0,3.37,ENZ
120824000.0,135.24,EFX
255507000.0,15.81,EQT
3072396000.0,9.5,ERIC
14471000.0,11.47,ESCA
2401000.0,24.75,ESP
11188000.0,400.94,NEU
11483000.0,0.8,ESCC
10769000.0,8.65,KINS
171996000.0,75.86,EXPD
14985000.0,63.35,BOOM
19252000.0,20.82,IIIN
4231094000.0,76.63,XOM
131658000.0,82.95,FMC
478935000.0,204.86,NEE
545000.0,3.0,FCGN
156000000.0,0.12,PRRE
17822000.0,0.003,CVST
17040000.0,16.37,FARM
260575000.0,164.19,FDX
62109000.0,16.865,RUSMF
62109000.0,22.1,RUS.
1158088000.0,2.697,FNMA
74906000.0,128.76,FRT
1382000.0,7.3,FSCR
60288000.0,26.75,FSS
308872000.0,21.46,M
81931000.0,15.8,FOE
10382000.0,2.28,LSTA
734386000.0,27.9,FITB
163310000.0,18.16,FINGF
163310000.0,23.87,FTT.
1013225000.0,14.94,RF
64739000.0,33.25,TRMK
10105000.0,450.27,FCNCA
1005000.0,380.0,FCNCB
3461000.0,0.1451,FCIC
136622000.0,170.07,MTB
2316000.0,2.245,FHRT
1592062000.0,52.4,USB
667000.0,10.0,FRPC
315361000.0,14.93,FHN
